"MGRS_10km","n.taxa","n.neigh","ratio","diff"
"29SMD90",450,869,0.931111111111111,419
"29SPB10",459,933,1.03267973856209,474
"29SMD92",450,940,1.08888888888889,490
"29SMD91",447,866,0.937360178970917,419
"29SMD94",248,960,2.87096774193548,712
"29SMD93",663,906,0.366515837104072,243
"29SPB09",68,589,7.66176470588235,521
"29SPB02",279,871,2.12186379928315,592
"29SPB01",469,1062,1.26439232409382,593
"29SPB04",217,531,1.44700460829493,314
"29SPB03",262,602,1.29770992366412,340
"29SPB06",208,585,1.8125,377
"29SPB05",89,563,5.32584269662921,474
"29SPB08",122,548,3.49180327868852,426
"29SPB07",259,577,1.22779922779923,318
"29SPB00",610,1095,0.795081967213115,485
"29SPB35",298,616,1.06711409395973,318
"29SPB34",319,637,0.996865203761755,318
"29SPB37",230,557,1.42173913043478,327
"29SPB36",172,611,2.55232558139535,439
"29SPB39",72,647,7.98611111111111,575
"29SPB38",24,639,25.625,615
"29SPB31",430,861,1.00232558139535,431
"29SPB33",313,770,1.46006389776358,457
"29SPB32",403,900,1.23325062034739,497
"29SQE40",340,782,1.3,442
"29SQE42",127,803,5.32283464566929,676
"29SQE41",196,789,3.02551020408163,593
"29SPB24",204,637,2.12254901960784,433
"29SPB23",192,695,2.61979166666667,503
"29SPB26",286,669,1.33916083916084,383
"29SPB25",318,682,1.14465408805031,364
"29SPB28",248,634,1.55645161290323,386
"29SMD63",139,496,2.56834532374101,357
"29SQE32",66,677,9.25757575757576,611
"29SPB27",151,630,3.17218543046358,479
"29SMD62",177,523,1.95480225988701,346
"29SMD65",141,618,3.38297872340426,477
"29SPB29",318,652,1.05031446540881,334
"29SPB20",140,773,4.52142857142857,633
"29SPB22",310,873,1.81612903225806,563
"29SPB21",415,885,1.13253012048193,470
"29SQE31",212,690,2.25471698113208,478
"29SMD61",279,759,1.72043010752688,480
"29SQE30",294,706,1.40136054421769,412
"29SMD60",370,973,1.62972972972973,603
"29SMD56",109,213,0.954128440366973,104
"29SMD85",572,950,0.660839160839161,378
"29SMD84",211,1002,3.74881516587678,791
"29SMD87",331,840,1.53776435045317,509
"29SMD86",642,931,0.450155763239875,289
"29SQE51",373,706,0.892761394101877,333
"29SMD81",303,882,1.91089108910891,579
"29SQE50",415,711,0.713253012048193,296
"29SMD80",512,927,0.810546875,415
"29SMD83",239,897,2.75313807531381,658
"29SQE52",180,725,3.02777777777778,545
"29SMD82",152,894,4.88157894736842,742
"29SMD74",314,834,1.65605095541401,520
"29SMD73",146,629,3.30821917808219,483
"29SMD76",165,903,4.47272727272727,738
"29SMD75",408,904,1.2156862745098,496
"29SMD70",522,1030,0.973180076628352,508
"29SMD72",162,670,3.1358024691358,508
"29SMD71",156,862,4.52564102564103,706
"29SPB93",130,737,4.66923076923077,607
"29SPB92",294,824,1.80272108843537,530
"29SPB95",227,603,1.65638766519824,376
"29SPB94",191,621,2.25130890052356,430
"29SPB97",117,550,3.7008547008547,433
"29SPB96",227,548,1.41409691629956,321
"29SPB99",504,820,0.626984126984127,316
"29SPB98",238,782,2.28571428571429,544
"29SPB91",385,767,0.992207792207792,382
"29SPB90",98,623,5.35714285714286,525
"29SPB89",297,707,1.38047138047138,410
"29SPB82",335,823,1.45671641791045,488
"29SPB81",322,771,1.3944099378882,449
"29SPB84",242,573,1.36776859504132,331
"29SPB83",150,748,3.98666666666667,598
"29SPB86",175,510,1.91428571428571,335
"29SPB85",161,563,2.49689440993789,402
"29SPB88",157,661,3.21019108280255,504
"29SPB87",183,510,1.78688524590164,327
"29SQE00",48,460,8.58333333333333,412
"29SQE02",46,354,6.69565217391304,308
"29SQE01",13,354,26.2307692307692,341
"29SQE22",28,547,18.5357142857143,519
"29SQE21",101,639,5.32673267326733,538
"29SQE20",230,683,1.9695652173913,453
"29SQE11",212,470,1.21698113207547,258
"29SQE10",167,551,2.29940119760479,384
"29SQE12",131,391,1.98473282442748,260
"29SND11",82,704,7.58536585365854,622
"29SND10",170,685,3.02941176470588,515
"29SND13",207,765,2.69565217391304,558
"29SND12",251,739,1.94422310756972,488
"29SND15",525,790,0.504761904761905,265
"29SND14",336,761,1.26488095238095,425
"29SPC78",108,773,6.15740740740741,665
"29SND06",327,932,1.85015290519878,605
"29SPC77",17,529,30.1176470588235,512
"29SND05",260,854,2.28461538461538,594
"29SND08",119,892,6.49579831932773,773
"29SPC79",532,964,0.81203007518797,432
"29SND07",186,929,3.99462365591398,743
"29SND09",96,760,6.91666666666667,664
"29SPC70",191,592,2.09947643979058,401
"29SPC72",590,733,0.242372881355932,143
"29SND00",57,784,12.7543859649123,727
"29SPC71",174,745,3.2816091954023,571
"29SPC74",51,357,6,306
"29SND02",424,952,1.24528301886792,528
"29SPC73",38,720,17.9473684210526,682
"29SND01",249,863,2.46586345381526,614
"29SPC76",38,446,10.7368421052632,408
"29SND04",264,931,2.52651515151515,667
"29SPC75",75,341,3.54666666666667,266
"29SND03",296,928,2.13513513513514,632
"29SPC67",181,499,1.75690607734807,318
"29SPC66",50,323,5.46,273
"29SPC69",184,999,4.42934782608696,815
"29SPC68",212,806,2.80188679245283,594
"29SPC61",192,812,3.22916666666667,620
